bits, TICKS
0, 37418732 
0, 37449370 
0, 37480008 
0, 37510645 
0, 37541282 
0, 37571920 
0, 37602558 
0, 37633195 
0, 37663832 
0, 37694470 
0, 37725108 
0, 37755745 
0, 37786382 
0, 37817020 
0, 37847658 
0, 37878296 
0, 37908933 
0, 37939571 
0, 37970209 
0, 38000847 
0, 38031484 
0, 38062121 
0, 38092759 
0, 38123397 
0, 38154034 
0, 38184671 
0, 38215309 
0, 38245947 
0, 38276584 
0, 38307221 
0, 38333190 
0, 38363830 
0, 38394470 
0, 38425111 
0, 38455751 
0, 38486388 
0, 38517025 
0, 38547663 
0, 38578301 
0, 38608938 
0, 38639575 
0, 38670213 
0, 38700851 
0, 38731488 
0, 38762125 
0, 38792763 
0, 38823401 
0, 38854038 
0, 38884675 
0, 38915313 
0, 38945951 
0, 38976588 
0, 39007225 
0, 39037863 
0, 39068501 
0, 39099139 
0, 39129776 
0, 39160414 
0, 39191052 
0, 39221690 
0, 39252327 
0, 39282964 
0, 39313602 
0, 39344240 
0, 39374877 
0, 39405514 
0, 39436152 
0, 39462121 
0, 39492761 
0, 39523402 
0, 39554043 
0, 39584683 
0, 39615323 
0, 39645963 
0, 39676601 
0, 39707238 
0, 39737875 
0, 39768513 
0, 39799151 
0, 39829788 
0, 39860425 
0, 39891063 
0, 39921701 
0, 39952338 
0, 39982975 
0, 40013613 
0, 40044250 
0, 40074886 
0, 40105525 
0, 40136162 
0, 40166799 
0, 40197439 
0, 40228076 
0, 40258714 
0, 40289352 
0, 40319990 
0, 40350627 
0, 40381264 
0, 40411902 
0, 40442540 
0, 40473176 
0, 40503813 
0, 40534451 
0, 40565089 
0, 40590903 
0, 40621544 
0, 40652181 
0, 40682822 
0, 40713462 
0, 40744103 
0, 40774743 
0, 40805380 
0, 40836017 
0, 40866655 
0, 40897293 
0, 40927930 
0, 40958567 
0, 40989205 
0, 41019843 
0, 41050480 
0, 41081117 
0, 41111755 
0, 41142393 
0, 41173030 
0, 41203667 
0, 41234305 
0, 41264942 
0, 41295581 
0, 41326218 
0, 41356856 
0, 41387494 
0, 41418132 
0, 41448769 
0, 41479406 
0, 41510044 
0, 41540681 
0, 41571320 
0, 41601957 
0, 41632595 
0, 41663233 
0, 41689200 
0, 41719841 
0, 41750482 
0, 41781122 
0, 41811762 
0, 41842403 
0, 41873043 
0, 41903680 
0, 41934317 
0, 41964955 
0, 41995593 
0, 42026230 
0, 42056866 
0, 42087504 
0, 42118142 
0, 42148779 
0, 42179416 
0, 42210054 
0, 42240691 
0, 42271330 
0, 42301967 
0, 42332605 
0, 42363242 
0, 42393878 
0, 42424517 
0, 42455155 
0, 42485792 
0, 42516432 
0, 42547068 
0, 42577706 
0, 42608344 
0, 42638982 
0, 42669619 
0, 42700256 
0, 42730894 
0, 42761532 
0, 42792169 
0, 42818137 
0, 42848778 
0, 42879418 
0, 42910058 
0, 42940698 
0, 42971336 
0, 43001973 
0, 43032610 
0, 43063247 
0, 43093887 
0, 43124524 
0, 43155160 
0, 43185797 
0, 43216437 
0, 43247074 
0, 43277711 
0, 43308349 
0, 43338987 
0, 43369624 
0, 43400261 
0, 43430898 
0, 43461538 
0, 43492175 
0, 43522812 
0, 43553450 
0, 43584087 
0, 43614727 
0, 43645364 
0, 43676001 
0, 43706641 
0, 43737279 
0, 43767916 
0, 43798553 
0, 43829191 
0, 43859829 
0, 43890466 
0, 43916434 
0, 43947075 
0, 43977715 
0, 44008355 
0, 44038995 
0, 44069633 
0, 44100270 
0, 44130907 
0, 44161545 
0, 44192182 
0, 44222821 
0, 44253458 
0, 44284096 
0, 44314734 
0, 44345371 
0, 44376008 
0, 44406646 
0, 44437283 
0, 44467922 
0, 44498559 
0, 44529197 
0, 44559835 
0, 44590472 
0, 44621109 
0, 44651747 
0, 44682385 
0, 44713022 
0, 44743659 
0, 44774297 
0, 44804935 
0, 44835573 
0, 44866210 
0, 44896848 
0, 44927486 
0, 44958124 
0, 44988761 
0, 45019398 
0, 45045367 
0, 45076007 
0, 45106647 
0, 45137288 
0, 45167928 
0, 45198565 
0, 45229202 
0, 45259840 
0, 45290478 
0, 45321115 
0, 45351751 
0, 45382389 
0, 45413027 
0, 45443664 
0, 45474300 
0, 45504938 
0, 45535576 
0, 45566213 
0, 45596849 
0, 45627487 
0, 45658125 
0, 45688762 
0, 45719399 
0, 45750037 
0, 45780675 
0, 45811312 
0, 45841949 
0, 45872587 
0, 45903225 
0, 45933863 
0, 45964500 
0, 45995138 
0, 46025776 
0, 46056414 
0, 46087050 
0, 46117687 
0, 46143656 
0, 46174293 
0, 46204933 
0, 46235574 
0, 46266215 
0, 46296852 
0, 46327492 
0, 46358133 
0, 46388773 
0, 46419410 
0, 46450047 
0, 46480685 
0, 46511323 
0, 46541959 
0, 46572596 
0, 46603234 
0, 46633871 
0, 46664510 
0, 46695146 
0, 46725784 
0, 46756422 
0, 46787059 
0, 46817696 
0, 46848334 
0, 46878972 
0, 46909609 
0, 46940246 
0, 46970884 
0, 47001522 
0, 47032159 
0, 47062796 
0, 47093434 
0, 47124072 
0, 47154710 
0, 47185347 
0, 47215985 
0, 47246623 
0, 47272592 
0, 47303232 
0, 47333873 
0, 47364514 
0, 47395154 
0, 47425794 
0, 47456434 
0, 47487072 
0, 47517709 
0, 47548346 
0, 47578984 
0, 47609622 
0, 47640259 
0, 47670896 
0, 47701534 
0, 47732172 
0, 47762809 
0, 47793446 
0, 47824084 
0, 47854722 
0, 47885359 
0, 47915996 
0, 47946634 
0, 47977272 
0, 48007909 
0, 48038546 
0, 48069184 
0, 48099822 
0, 48130459 
0, 48161096 
0, 48191734 
0, 48222372 
0, 48253010 
0, 48283647 
0, 48314285 
0, 48344923 
0, 48375562 
0, 48401376 
0, 48432017 
0, 48462659 
0, 48493299 
0, 48523939 
0, 48554580 
0, 48585220 
0, 48615857 
0, 48646494 
0, 48677132 
0, 48707770 
0, 48738407 
0, 48769044 
0, 48799682 
0, 48830320 
0, 48860957 
0, 48891594 
0, 48922232 
0, 48952870 
0, 48983507 
0, 49014144 
0, 49044782 
0, 49075420 
0, 49106057 
0, 49136694 
0, 49167332 
0, 49197970 
0, 49228607 
0, 49259244 
0, 49289882 
0, 49320520 
0, 49351158 
0, 49381795 
0, 49412433 
0, 49443071 
0, 49473709 
0, 49499677 
0, 49530318 
0, 49560959 
0, 49591599 
0, 49622239 
0, 49652879 
0, 49683517 
0, 49714154 
0, 49744791 
0, 49775429 
0, 49806067 
0, 49836704 
0, 49867341 
0, 49897979 
0, 49928617 
0, 49959254 
0, 49989891 
0, 50020529 
0, 50051167 
0, 50081804 
0, 50112441 
0, 50143078 
0, 50173718 
0, 50204355 
0, 50234991 
0, 50265629 
0, 50296267 
0, 50326904 
0, 50357541 
0, 50388179 
0, 50418817 
0, 50449454 
0, 50480091 
0, 50510729 
0, 50541367 
0, 50572005 
0, 50602642 
0, 50628610 
0, 50659251 
0, 50689891 
0, 50720531 
0, 50751172 
0, 50781812 
0, 50812449 
0, 50843086 
0, 50873724 
0, 50904362 
0, 50934999 
0, 50965636 
0, 50996274 
0, 51026912 
0, 51057549 
0, 51088186 
0, 51118824 
0, 51149462 
0, 51180099 
0, 51210736 
0, 51241374 
0, 51272012 
0, 51302649 
0, 51333286 
0, 51363924 
0, 51394562 
0, 51425199 
0, 51455836 
0, 51486474 
0, 51517112 
0, 51547749 
0, 51578386 
0, 51609024 
0, 51639662 
0, 51670300 
0, 51700937 
0, 51726906 
0, 51757547 
0, 51788187 
0, 51818827 
0, 51849468 
0, 51880108 
0, 51910745 
0, 51941382 
0, 51972020 
0, 52002658 
0, 52033295 
0, 52063932 
0, 52094570 
0, 52125208 
0, 52155845 
0, 52186482 
0, 52217120 
0, 52247758 
0, 52278395 
0, 52309032 
0, 52339670 
0, 52370308 
0, 52400945 
0, 52431582 
